experiment,experiment_order,variant,variant_order,parallel,parallel_order,n,n_timeout,mean_ms,ci_lower_ms,ci_upper_ms,ci_upper_is_infinite,ci_upper_ms_plot,ci_method
llama,0,old,0,serial,0,3,0,1242,1227.0939707500622,1256.9060292499378,false,1256.9060292499378,t_two_sided
llama,0,old,0,default Rayon,1,3,0,2680.6666666666665,2660.586,2700.7473333333332,false,2700.7473333333332,t_two_sided
llama,0,new,1,serial,0,3,0,21940.333333333332,21814.72470870862,22065.941957958043,false,22065.941957958043,t_two_sided
llama,0,new,1,default Rayon,1,3,0,23647.666666666668,22915.01711864107,24380.316214692266,false,24380.316214692266,t_two_sided
llama,0,PR #857,2,serial,0,3,0,2555,2522.7036032918013,2587.2963967081987,false,2587.2963967081987,t_two_sided
llama,0,PR #857,2,default Rayon,1,3,0,3042,2859.2871005456923,3224.7128994543077,false,3224.7128994543077,t_two_sided
llama,0,main 8c1c70b,3,serial,0,3,0,2647,2615.970625723357,2678.029374276643,false,2678.029374276643,t_two_sided
llama,0,main 8c1c70b,3,default Rayon,1,3,0,3051,2993.21576723419,3108.78423276581,false,3108.78423276581,t_two_sided
llama,0,PR #896 no-decomp,4,serial,0,3,0,1890.6666666666667,1816.2884960332224,1965.044837300111,false,1965.044837300111,t_two_sided
llama,0,PR #896 no-decomp,4,default Rayon,1,3,0,2703.6666666666665,2648.0966614590207,2759.2366718743124,false,2759.2366718743124,t_two_sided
whisper,1,old,0,serial,0,3,0,30383.333333333332,30082.807125361753,30683.85954130491,false,30683.85954130491,t_two_sided
whisper,1,old,0,default Rayon,1,3,0,24473.333333333332,22938.62883896649,26008.037827700173,false,26008.037827700173,t_two_sided
whisper,1,new,1,serial,0,3,3,61000,22472.592141706362,Infinity,true,198450,right_censored_all_timeout_lower_bound
whisper,1,new,1,default Rayon,1,3,3,61000,22472.592141706362,Infinity,true,198450,right_censored_all_timeout_lower_bound
whisper,1,PR #857,2,serial,0,3,3,61000,22472.592141706362,Infinity,true,198450,right_censored_all_timeout_lower_bound
whisper,1,PR #857,2,default Rayon,1,3,3,61000,22472.592141706362,Infinity,true,198450,right_censored_all_timeout_lower_bound
