parallel,experiment,variant,run,metric,time_ms,tuples,status
parallel off,llama,old,1,total runtime ms,1222,16761,complete
parallel off,llama,old,2,total runtime ms,1235,16761,complete
parallel off,llama,old,3,total runtime ms,1213,16761,complete
parallel off,llama,old,4,total runtime ms,1429,16761,complete
parallel off,llama,old,5,total runtime ms,1343,16761,complete
parallel off,whisper,old,1,total runtime ms,30448,26184,complete
parallel off,whisper,old,2,total runtime ms,30214,26184,complete
parallel off,whisper,old,3,total runtime ms,30195,26184,complete
parallel off,whisper,old,4,total runtime ms,30129,26184,complete
parallel off,whisper,old,5,total runtime ms,30323,26184,complete
parallel off,gemma,old,1,total runtime ms,73022,67904,complete
parallel off,gemma,old,2,total runtime ms,74184,67904,complete
parallel off,gemma,old,3,total runtime ms,73644,67904,complete
parallel off,gemma,old,4,total runtime ms,73447,67904,complete
parallel off,gemma,old,5,total runtime ms,73310,67904,complete
parallel off,qwen3_moe,old,1,total runtime ms,2281,31986,complete
parallel off,qwen3_moe,old,2,total runtime ms,2287,31986,complete
parallel off,qwen3_moe,old,3,total runtime ms,2277,31986,complete
parallel off,qwen3_moe,old,4,total runtime ms,2311,31986,complete
parallel off,qwen3_moe,old,5,total runtime ms,2304,31986,complete
parallel off,qwen,old,1,total runtime ms,1531,21873,complete
parallel off,qwen,old,2,total runtime ms,1527,21873,complete
parallel off,qwen,old,3,total runtime ms,1628,21873,complete
parallel off,qwen,old,4,total runtime ms,1526,21873,complete
parallel off,qwen,old,5,total runtime ms,1534,21873,complete
parallel off,paged_llama,old,1,total runtime ms,1204,16270,complete
parallel off,paged_llama,old,2,total runtime ms,1192,16270,complete
parallel off,paged_llama,old,3,total runtime ms,1209,16270,complete
parallel off,paged_llama,old,4,total runtime ms,1191,16270,complete
parallel off,paged_llama,old,5,total runtime ms,1198,16270,complete
parallel on,llama,old,1,total runtime ms,2705,16761,complete
parallel on,llama,old,2,total runtime ms,2710,16761,complete
parallel on,llama,old,3,total runtime ms,2707,16761,complete
parallel on,llama,old,4,total runtime ms,2692,16761,complete
parallel on,llama,old,5,total runtime ms,2715,16761,complete
parallel on,whisper,old,1,total runtime ms,24810,26184,complete
parallel on,whisper,old,2,total runtime ms,22612,26184,complete
parallel on,whisper,old,3,total runtime ms,23942,26184,complete
parallel on,whisper,old,4,total runtime ms,22305,26184,complete
parallel on,whisper,old,5,total runtime ms,24624,26184,complete
parallel on,gemma,old,1,total runtime ms,47412,67904,complete
parallel on,gemma,old,2,total runtime ms,52276,67904,complete
parallel on,gemma,old,3,total runtime ms,50136,67904,complete
parallel on,gemma,old,4,total runtime ms,50626,67904,complete
parallel on,gemma,old,5,total runtime ms,51364,67904,complete
parallel on,qwen3_moe,old,1,total runtime ms,2165,31986,complete
parallel on,qwen3_moe,old,2,total runtime ms,2025,31986,complete
parallel on,qwen3_moe,old,3,total runtime ms,2027,31986,complete
parallel on,qwen3_moe,old,4,total runtime ms,1946,31986,complete
parallel on,qwen3_moe,old,5,total runtime ms,2049,31986,complete
parallel on,qwen,old,1,total runtime ms,1712,21873,complete
parallel on,qwen,old,2,total runtime ms,1616,21873,complete
